IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
89,"Annual rate of population change by degree of urbanization","Annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",81,"2030",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",2.6147
89,"Annual rate of population change by degree of urbanization","Annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",82,"2031",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",2.616
89,"Annual rate of population change by degree of urbanization","Annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",83,"2032",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",2.5856
89,"Annual rate of population change by degree of urbanization","Annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",84,"2033",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",2.5878
89,"Annual rate of population change by degree of urbanization","Annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",85,"2034",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",2.5585
89,"Annual rate of population change by degree of urbanization","Annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",86,"2035",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",2.5381
90,"Percentage of annual rate of population change by degree of urbanization","Percentage of annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",0.445
90,"Percentage of annual rate of population change by degree of urbanization","Percentage of annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",76,"2025",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",0.4428
90,"Percentage of annual rate of population change by degree of urbanization","Percentage of annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",77,"2026",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",0.4399
90,"Percentage of annual rate of population change by degree of urbanization","Percentage of annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",78,"2027",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",0.4179
90,"Percentage of annual rate of population change by degree of urbanization","Percentage of annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",79,"2028",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",0.3975
90,"Percentage of annual rate of population change by degree of urbanization","Percentage of annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",80,"2029",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",0.3786
90,"Percentage of annual rate of population change by degree of urbanization","Percentage of annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",81,"2030",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",0.3786
90,"Percentage of annual rate of population change by degree of urbanization","Percentage of annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",82,"2031",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",0.3774
90,"Percentage of annual rate of population change by degree of urbanization","Percentage of annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",83,"2032",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",0.3593
90,"Percentage of annual rate of population change by degree of urbanization","Percentage of annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",84,"2033",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",0.3424
90,"Percentage of annual rate of population change by degree of urbanization","Percentage of annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",85,"2034",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",0.3267
90,"Percentage of annual rate of population change by degree of urbanization","Percentage of annual rate of population change by degree of urbanization","World Urbanization Prospects",2025,"United Nations Population Division",384,"Côte d'Ivoire","CI","CIV",86,"2035",4,"Median",3,"Both sexes",188,0,-1,"Total",107,"Cities and towns",1,"Model-based Estimates",3,"Projection",0.3291
