ccode,year,gender,age_group,edu_ilo,neet_fc
CIV,2024,Male,15-24,Upper Secondary,0.17399
CIV,2025,Male,15-24,Upper Secondary,0.17399
CIV,2015,Female,25-54,Lower Secondary,0.458500965996392
CIV,2016,Female,25-54,Lower Secondary,0.4419527184174968
CIV,2017,Female,25-54,Lower Secondary,0.95
CIV,2018,Female,25-54,Lower Secondary,0.444527538954527
CIV,2019,Female,25-54,Lower Secondary,0.2552467944653298
CIV,2020,Female,25-54,Lower Secondary,0.5197915630078025
CIV,2021,Female,25-54,Lower Secondary,0.5124576882594482
CIV,2022,Female,25-54,Lower Secondary,0.3400539061566495
CIV,2023,Female,25-54,Lower Secondary,0.4743589782915483
CIV,2024,Female,25-54,Lower Secondary,0.3550393285298603
CIV,2025,Female,25-54,Lower Secondary,0.3550393285298603
CIV,2015,Female,25-54,No Education,0.578238783889513
CIV,2016,Female,25-54,No Education,0.3569912268812887
CIV,2017,Female,25-54,No Education,0.5160187887263242
CIV,2018,Female,25-54,No Education,0.4445463606955517
CIV,2019,Female,25-54,No Education,0.358636922696157
CIV,2020,Female,25-54,No Education,0.3814223483801803
CIV,2021,Female,25-54,No Education,0.4422369926086282
CIV,2022,Female,25-54,No Education,0.3941061600640308
CIV,2023,Female,25-54,No Education,0.6727754058247118
CIV,2024,Female,25-54,No Education,0.5824838102094138
CIV,2025,Female,25-54,No Education,0.5824838102094138
CIV,2015,Female,25-54,Primary,0.264336968428214
CIV,2016,Female,25-54,Primary,0.2570871183925775
CIV,2017,Female,25-54,Primary,0.6457395717852649
CIV,2018,Female,25-54,Primary,0.2656223898696537
CIV,2019,Female,25-54,Primary,0.1456364237876515
CIV,2020,Female,25-54,Primary,0.3046521308553488
CIV,2021,Female,25-54,Primary,0.3015658474239098
CIV,2022,Female,25-54,Primary,0.228890312541578
CIV,2023,Female,25-54,Primary,0.3410515962599524
CIV,2024,Female,25-54,Primary,0.2622167743639361
CIV,2025,Female,25-54,Primary,0.2622167743639361
CIV,2015,Female,25-54,Tertiary,0.3704126890672178
CIV,2016,Female,25-54,Tertiary,0.1898988277107593
CIV,2017,Female,25-54,Tertiary,0.1036808487757994
CIV,2018,Female,25-54,Tertiary,0.3349552610614357
CIV,2019,Female,25-54,Tertiary,0.2943383743853038
CIV,2020,Female,25-54,Tertiary,0.2881178173782698
CIV,2021,Female,25-54,Tertiary,0.4819005585438307
CIV,2022,Female,25-54,Tertiary,0.2596130910142881
CIV,2023,Female,25-54,Tertiary,0.4036483365462129
CIV,2024,Female,25-54,Tertiary,0.300496026939404
CIV,2025,Female,25-54,Tertiary,0.300496026939404
CIV,2015,Female,25-54,Upper Secondary,0.4537338489719972
CIV,2016,Female,25-54,Upper Secondary,0.2221579480759513
CIV,2017,Female,25-54,Upper Secondary,0.2600124119974246
CIV,2018,Female,25-54,Upper Secondary,0.3204729805276983
CIV,2019,Female,25-54,Upper Secondary,0.2970862974731023
CIV,2020,Female,25-54,Upper Secondary,0.5446028197039341
CIV,2021,Female,25-54,Upper Secondary,0.4332738185082377
CIV,2022,Female,25-54,Upper Secondary,0.2749696013592118
CIV,2023,Female,25-54,Upper Secondary,0.4823695675428926
CIV,2024,Female,25-54,Upper Secondary,0.4521541550892272
