ccode,year,gender,age,age_group,status,geo,pop_emp_geo
CIV,2015,female,28,25-34,employed,urban,54323.0
CIV,2015,female,28,25-34,unemployed,rural,378.0
CIV,2015,female,28,25-34,unemployed,urban,2776.0
CIV,2015,female,28,25-34,inactive,rural,17594.0
CIV,2015,female,28,25-34,inactive,urban,31262.0
CIV,2015,female,28,25-34,student,rural,0.0
CIV,2015,female,28,25-34,student,urban,0.0
CIV,2015,female,29,25-34,employed,rural,55023.0
CIV,2015,female,29,25-34,employed,urban,52099.0
CIV,2015,female,29,25-34,unemployed,rural,362.0
CIV,2015,female,29,25-34,unemployed,urban,2663.0
CIV,2015,female,29,25-34,inactive,rural,16874.0
CIV,2015,female,29,25-34,inactive,urban,29982.0
CIV,2015,female,29,25-34,student,rural,0.0
CIV,2015,female,29,25-34,student,urban,0.0
CIV,2015,female,30,25-34,employed,rural,52818.0
CIV,2015,female,30,25-34,employed,urban,50011.0
CIV,2015,female,30,25-34,unemployed,rural,348.0
CIV,2015,female,30,25-34,unemployed,urban,2555.0
CIV,2015,female,30,25-34,inactive,rural,16198.0
CIV,2015,female,30,25-34,inactive,urban,28780.0
CIV,2015,female,30,25-34,student,rural,0.0
CIV,2015,female,30,25-34,student,urban,0.0
CIV,2015,female,31,25-34,employed,rural,50625.0
CIV,2015,female,31,25-34,employed,urban,47935.0
CIV,2015,female,31,25-34,unemployed,rural,333.0
CIV,2015,female,31,25-34,unemployed,urban,2450.0
CIV,2015,female,31,25-34,inactive,rural,15525.0
CIV,2015,female,31,25-34,inactive,urban,27586.0
CIV,2015,female,31,25-34,student,rural,0.0
CIV,2015,female,31,25-34,student,urban,0.0
CIV,2015,female,32,25-34,employed,rural,49036.0
CIV,2015,female,32,25-34,employed,urban,46431.0
CIV,2015,female,32,25-34,unemployed,rural,323.0
CIV,2015,female,32,25-34,unemployed,urban,2373.0
CIV,2015,female,32,25-34,inactive,rural,15038.0
CIV,2015,female,32,25-34,inactive,urban,26720.0
CIV,2015,female,32,25-34,student,rural,0.0
CIV,2015,female,32,25-34,student,urban,0.0
