ccode,year,edu_ilo,age_group,gender,share_unemp,share_inact
CIV,2025,Lower secondary,15-24,male,0.05158,0.65692
CIV,2015,Lower secondary,25-54,female,0.08423,0.3065833333333334
CIV,2016,Lower secondary,25-54,female,0.07453,0.33462
CIV,2017,Lower secondary,25-54,female,0.0748666666666666,0.3241433333333333
CIV,2018,Lower secondary,25-54,female,0.0752033333333333,0.3136666666666667
CIV,2019,Lower secondary,25-54,female,0.07554,0.30319
CIV,2020,Lower secondary,25-54,female,0.0666066666666666,0.3004766666666666
CIV,2021,Lower secondary,25-54,female,0.0576733333333333,0.2977633333333333
CIV,2022,Lower secondary,25-54,female,0.04874,0.29505
CIV,2023,Lower secondary,25-54,female,0.04874,0.29505
CIV,2024,Lower secondary,25-54,female,0.04874,0.29505
CIV,2025,Lower secondary,25-54,female,0.04874,0.29505
CIV,2015,Lower secondary,25-54,male,0.0307066666666666,0.12445
CIV,2016,Lower secondary,25-54,male,0.02459,0.16109
CIV,2017,Lower secondary,25-54,male,0.0257666666666666,0.16424
CIV,2018,Lower secondary,25-54,male,0.0269433333333333,0.16739
CIV,2019,Lower secondary,25-54,male,0.02812,0.17054
CIV,2020,Lower secondary,25-54,male,0.0274666666666666,0.1409633333333333
CIV,2021,Lower secondary,25-54,male,0.0268133333333333,0.1113866666666666
CIV,2022,Lower secondary,25-54,male,0.02616,0.08181
CIV,2023,Lower secondary,25-54,male,0.02616,0.08181
CIV,2024,Lower secondary,25-54,male,0.02616,0.08181
CIV,2025,Lower secondary,25-54,male,0.02616,0.08181
CIV,2015,Lower secondary,55-64,female,0.0829299999999999,0.4698166666666666
CIV,2016,Lower secondary,55-64,female,0.07822,0.54698
CIV,2017,Lower secondary,55-64,female,0.0829299999999999,0.48815
CIV,2018,Lower secondary,55-64,female,0.0829299999999999,0.42932
CIV,2019,Lower secondary,55-64,female,0.0829299999999999,0.37049
CIV,2020,Lower secondary,55-64,female,0.0829299999999999,0.4205233333333333
CIV,2021,Lower secondary,55-64,female,0.0829299999999999,0.4705566666666667
CIV,2022,Lower secondary,55-64,female,0.0829299999999999,0.52059
CIV,2023,Lower secondary,55-64,female,0.0829299999999999,0.52059
CIV,2024,Lower secondary,55-64,female,0.0829299999999999,0.52059
CIV,2025,Lower secondary,55-64,female,0.0829299999999999,0.52059
CIV,2015,Lower secondary,55-64,male,0.0708,0.3017966666666666
CIV,2016,Lower secondary,55-64,male,0.070632,0.3234599999999999
CIV,2017,Lower secondary,55-64,male,0.070448,0.3061366666666666
CIV,2018,Lower secondary,55-64,male,0.070264,0.2888133333333333
