ccode,year,gender,age,broad_sector,sector21,geo,population
CIV,2023,male,27,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,rural,4675.0
CIV,2023,male,27,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,urban,24161.0
CIV,2023,male,28,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,rural,4485.0
CIV,2023,male,28,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,urban,23179.0
CIV,2023,male,29,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,rural,4313.0
CIV,2023,male,29,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,urban,22289.0
CIV,2023,male,30,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,rural,4146.0
CIV,2023,male,30,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,urban,21422.0
CIV,2023,male,31,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,rural,3986.0
CIV,2023,male,31,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,urban,20597.0
CIV,2023,male,32,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,rural,3836.0
CIV,2023,male,32,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,urban,19821.0
CIV,2023,male,33,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,rural,3695.0
CIV,2023,male,33,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,urban,19094.0
CIV,2023,male,34,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,rural,3565.0
CIV,2023,male,34,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,urban,18421.0
CIV,2023,male,35,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,rural,3441.0
CIV,2023,male,35,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,urban,17783.0
CIV,2023,male,36,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,rural,3319.0
CIV,2023,male,36,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,urban,17153.0
CIV,2023,male,37,Services,Wholesale and retail trade; repair of motor vehicles and motorcycles,rural,3226.0
