ccode,year,gender,age,age_group,broad_sector,formality,population
CIV,2020,Female,15,15-24,Services,Informal,7860.0
CIV,2020,Female,15,15-24,Services,Formal,94.0
CIV,2020,Female,16,15-24,Services,Informal,7647.0
CIV,2020,Female,16,15-24,Services,Formal,91.0
CIV,2020,Female,17,15-24,Services,Informal,7427.0
CIV,2020,Female,17,15-24,Services,Formal,88.0
CIV,2020,Female,18,15-24,Services,Informal,7195.0
CIV,2020,Female,18,15-24,Services,Formal,86.0
CIV,2020,Female,19,15-24,Services,Informal,6957.0
CIV,2020,Female,19,15-24,Services,Formal,83.0
CIV,2020,Female,20,15-24,Services,Informal,6720.0
CIV,2020,Female,20,15-24,Services,Formal,80.0
CIV,2020,Female,21,15-24,Services,Informal,6482.0
CIV,2020,Female,21,15-24,Services,Formal,77.0
CIV,2020,Female,22,15-24,Services,Informal,6251.0
CIV,2020,Female,22,15-24,Services,Formal,74.0
CIV,2020,Female,23,15-24,Services,Informal,6029.0
CIV,2020,Female,23,15-24,Services,Formal,72.0
CIV,2020,Female,24,15-24,Services,Informal,5817.0
CIV,2020,Female,24,15-24,Services,Formal,69.0
CIV,2021,Female,15,15-24,Services,Informal,6541.0
CIV,2021,Female,15,15-24,Services,Formal,62.0
CIV,2021,Female,16,15-24,Services,Informal,6365.0
CIV,2021,Female,16,15-24,Services,Formal,60.0
CIV,2021,Female,17,15-24,Services,Informal,6185.0
CIV,2021,Female,17,15-24,Services,Formal,58.0
CIV,2021,Female,18,15-24,Services,Informal,6000.0
CIV,2021,Female,18,15-24,Services,Formal,57.0
CIV,2021,Female,19,15-24,Services,Informal,5814.0
CIV,2021,Female,19,15-24,Services,Formal,55.0
CIV,2021,Female,20,15-24,Services,Informal,5627.0
CIV,2021,Female,20,15-24,Services,Formal,53.0
CIV,2021,Female,21,15-24,Services,Informal,5440.0
CIV,2021,Female,21,15-24,Services,Formal,51.0
CIV,2021,Female,22,15-24,Services,Informal,5253.0
CIV,2021,Female,22,15-24,Services,Formal,50.0
CIV,2021,Female,23,15-24,Services,Informal,5068.0
CIV,2021,Female,23,15-24,Services,Formal,48.0
CIV,2021,Female,24,15-24,Services,Informal,4885.0
CIV,2021,Female,24,15-24,Services,Formal,46.0
CIV,2022,Female,15,15-24,Services,Informal,5672.0
CIV,2022,Female,15,15-24,Services,Formal,40.0
CIV,2022,Female,16,15-24,Services,Informal,5521.0
CIV,2022,Female,16,15-24,Services,Formal,39.0
CIV,2022,Female,17,15-24,Services,Informal,5368.0
CIV,2022,Female,17,15-24,Services,Formal,38.0
CIV,2022,Female,18,15-24,Services,Informal,5215.0
CIV,2022,Female,18,15-24,Services,Formal,37.0
CIV,2022,Female,19,15-24,Services,Informal,5062.0
CIV,2022,Female,19,15-24,Services,Formal,35.0
CIV,2022,Female,20,15-24,Services,Informal,4907.0
CIV,2022,Female,20,15-24,Services,Formal,34.0
CIV,2022,Female,21,15-24,Services,Informal,4752.0
CIV,2022,Female,21,15-24,Services,Formal,33.0
CIV,2022,Female,22,15-24,Services,Informal,4595.0
CIV,2022,Female,22,15-24,Services,Formal,32.0
CIV,2022,Female,23,15-24,Services,Informal,4435.0
CIV,2022,Female,23,15-24,Services,Formal,31.0
CIV,2022,Female,24,15-24,Services,Informal,4274.0
CIV,2022,Female,24,15-24,Services,Formal,30.0
CIV,2023,Female,15,15-24,Services,Informal,4903.0
CIV,2023,Female,15,15-24,Services,Formal,277.0
CIV,2023,Female,16,15-24,Services,Informal,4776.0
CIV,2023,Female,16,15-24,Services,Formal,269.0
CIV,2023,Female,17,15-24,Services,Informal,4647.0
CIV,2023,Female,17,15-24,Services,Formal,262.0
CIV,2023,Female,18,15-24,Services,Informal,4520.0
CIV,2023,Female,18,15-24,Services,Formal,255.0
CIV,2023,Female,19,15-24,Services,Informal,4391.0
CIV,2023,Female,19,15-24,Services,Formal,248.0
CIV,2023,Female,20,15-24,Services,Informal,4263.0
CIV,2023,Female,20,15-24,Services,Formal,240.0
CIV,2023,Female,21,15-24,Services,Informal,4134.0
CIV,2023,Female,21,15-24,Services,Formal,233.0
CIV,2023,Female,22,15-24,Services,Informal,4001.0
CIV,2023,Female,22,15-24,Services,Formal,226.0
CIV,2023,Female,23,15-24,Services,Informal,3865.0
CIV,2023,Female,23,15-24,Services,Formal,218.0
CIV,2023,Female,24,15-24,Services,Informal,3726.0
CIV,2023,Female,24,15-24,Services,Formal,210.0
CIV,2024,Female,15,15-24,Services,Informal,5227.0
CIV,2024,Female,15,15-24,Services,Formal,193.0
CIV,2024,Female,16,15-24,Services,Informal,5095.0
CIV,2024,Female,16,15-24,Services,Formal,189.0
CIV,2024,Female,17,15-24,Services,Informal,4963.0
CIV,2024,Female,17,15-24,Services,Formal,184.0
CIV,2024,Female,18,15-24,Services,Informal,4831.0
CIV,2024,Female,18,15-24,Services,Formal,179.0
CIV,2024,Female,19,15-24,Services,Informal,4699.0
CIV,2024,Female,19,15-24,Services,Formal,174.0
CIV,2024,Female,20,15-24,Services,Informal,4565.0
CIV,2024,Female,20,15-24,Services,Formal,169.0
CIV,2024,Female,21,15-24,Services,Informal,4431.0
CIV,2024,Female,21,15-24,Services,Formal,164.0
CIV,2024,Female,22,15-24,Services,Informal,4294.0
CIV,2024,Female,22,15-24,Services,Formal,159.0
CIV,2024,Female,23,15-24,Services,Informal,4151.0
CIV,2024,Female,23,15-24,Services,Formal,154.0
CIV,2024,Female,24,15-24,Services,Informal,4006.0
CIV,2024,Female,24,15-24,Services,Formal,148.0
CIV,2025,Female,15,15-24,Services,Informal,5561.0
CIV,2025,Female,15,15-24,Services,Formal,50.0
CIV,2025,Female,16,15-24,Services,Informal,5426.0
CIV,2025,Female,16,15-24,Services,Formal,49.0
CIV,2025,Female,17,15-24,Services,Informal,5290.0
CIV,2025,Female,17,15-24,Services,Formal,48.0
CIV,2025,Female,18,15-24,Services,Informal,5154.0
CIV,2025,Female,18,15-24,Services,Formal,47.0
CIV,2025,Female,19,15-24,Services,Informal,5017.0
CIV,2025,Female,19,15-24,Services,Formal,45.0
CIV,2025,Female,20,15-24,Services,Informal,4878.0
CIV,2025,Female,20,15-24,Services,Formal,44.0
CIV,2025,Female,21,15-24,Services,Informal,4738.0
CIV,2025,Female,21,15-24,Services,Formal,43.0
CIV,2025,Female,22,15-24,Services,Informal,4594.0
